State,income_2010,income_2011,income_2012,income_2013,income_2014,income_2015,income_2016,income_2017,income_2018,income_2019,income_2021,FertilityRate_2010,FertilityRate_2011,FertilityRate_2012,FertilityRate_2013,FertilityRate_2014,FertilityRate_2015,FertilityRate_2016,FertilityRate_2017,FertilityRate_2018,FertilityRate_2019,FertilityRate_2021,FertilityRateChange
Maryland,68854,70004,71122,72483,73971,75847,78945,80776,83242,86738,90203,1.89,1.85,1.83,1.79,1.82,1.8,1.79,1.75,1.75,1.73,1.66,-0.22999999999999998
Massachusetts,62072,62859,65339,66768,69160,70628,75297,77385,79835,85843,89645,1.67,1.67,1.63,1.6,1.58,1.55,1.54,1.51,1.45,1.45,1.43,-0.24
New Jersey,67681,67458,69667,70165,71919,72222,76126,80088,81740,85751,89296,1.9,1.88,1.85,1.81,1.81,1.8,1.79,1.76,1.78,1.77,1.72,-0.17999999999999994
New Hampshire,61042,62647,63280,64230,66532,70303,70936,73381,74991,77933,88465,1.67,1.67,1.61,1.6,1.58,1.59,1.55,1.52,1.47,1.43,1.48,-0.18999999999999995
California,57708,57287,58328,60190,61933,64500,67739,71805,75277,80440,84907,1.95,1.9,1.89,1.84,1.84,1.79,1.77,1.69,1.63,1.6,1.54,-0.4099999999999999
Hawaii,63030,61821,66259,68020,69592,73486,74511,77765,80212,83102,84857,2.15,2.11,2.1,2.08,2.0,1.97,1.94,1.89,1.85,1.85,1.73,-0.41999999999999993
Washington,55631,56835,57573,58405,61366,64129,67106,70979,74073,78687,84247,1.91,1.89,1.88,1.84,1.85,1.82,1.81,1.71,1.64,1.6,1.56,-0.34999999999999987
Connecticut,64032,65753,67276,67098,70048,71346,73433,74168,76348,78833,83771,1.72,1.71,1.66,1.63,1.63,1.61,1.63,1.59,1.57,1.54,1.58,-0.1399999999999999
Colorado,54046,55387,56765,58823,61303,63909,65685,69117,71953,77127,82254,1.92,1.85,1.83,1.79,1.77,1.75,1.71,1.63,1.56,1.53,1.52,-0.3999999999999999
Virginia,60674,61882,61741,62666,64902,66262,68114,71535,72577,76456,80963,1.88,1.85,1.84,1.81,1.81,1.8,1.79,1.75,1.73,1.69,1.66,-0.21999999999999997
Utah,54744,55869,57049,59770,60922,62912,65977,65358,71414,75780,79449,2.45,2.38,2.37,2.34,2.33,2.29,2.24,2.12,2.03,1.99,1.92,-0.5300000000000002
Alaska,64576,67825,67712,72237,71583,73355,76440,73181,74346,75463,77845,2.35,2.28,2.19,2.22,2.19,2.17,2.14,2.02,1.97,1.94,1.89,-0.4600000000000002
Minnesota,55459,56954,58906,60702,61481,63488,65599,68388,70315,74593,77720,1.96,1.95,1.94,1.94,1.94,1.93,1.93,1.87,1.83,1.79,1.75,-0.20999999999999996
